bruh
area
mec_app_support
service
transports
mec_app_support
services
v1
applications
mec
support 
mgmt
traffic_rules
dns
service
mec_service_mgmt 
rules
subscriptions
confirm_termination
confirm_ready
services
mec
dns_rules
https
try-mec.etsi.org
mep1
rni
v2
queries
rab_info
rni
v2
queries
plmn_info
app_ins_id
listofApp
mep1
rni
v2
queries
layer2_meas
app_ins_id
appID
bwm
v1
bw_allocations
wai
v2
queries
ap_information
queries
sta
sta_information
vis
v2
publish_v2x_message
provide_predicted_qos
uu_unicast_provisioning_info
location
accessPoints
queries
users
zones
circle
distance
periodic
userTracking
zonalTraffic
zoneStatus
